Name,MAC Address,IP Address,Subnet Mask,Default Gateway,DNS Servers,Domain Name,Lease Start Time,Lease End Time,Client Identifier,DHCP ServerIP,Boot File Name,Vendor Operating System
22pc0963,f8:94:c2:08:7a:b4,172.25.207.112,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0965,98:e7:43:7e:57:f9,172.25.207.96,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0966,,172.25.207.37,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0967,68:54:5a:84:32:99,172.25.207.163,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0968,,172.25.207.152,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0969,68:54:5a:82:47:d1,172.25.207.183,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0970,90:8d:6e:1f:07:a5,172.25.207.130,,,Alpha.com,global,,,,,,Windows 10 Enterprise
22pc0971,00:05:9a:3c:7a:00,172.25.207.130,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0972,38:14:28:15:01:7c,172.25.207.188,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0973,74:78:27:9b:27:b4,192.168.1.80,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0974,04:bf:1b:fe:d0:4f,172.25.207.103,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0975,74:78:27:fc:21:0c,172.25.207.131,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0976,,172.25.207.175,,,Alpha.com,global,,,,,,Windows 10 Enterprise
22pc0977,00:05:9a:3c:7a:00,192.168.1.102,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0978,00:05:9a:3c:7a:00,172.25.207.140,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0979,a0:29:19:96:2b:ad,10.201.190.32,,,Alpha.com,global,,,,,,Windows 10 Enterprise
22pc0980,00:05:9a:3c:7a:00,172.25.207.196,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0981,a0:29:19:af:cf:22,172.25.207.66,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0982,a0:29:19:31:83:52,172.25.207.207,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0983,d4:81:d7:b5:88:e3,172.25.207.110,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0984,90:8d:6e:1e:d1:1e,172.25.207.160,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0985,00:05:9a:3c:7a:00,172.25.207.182,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0986,00:05:9a:3c:7a:00,10.201.163.239,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0987,60:18:95:08:a6:f1,10.201.165.119,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0988,00:05:9a:3c:7a:00,192.168.1.14,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0989,00:05:9a:3c:7a:00,192.168.1.12,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0990,00:05:9a:3c:7a:00,10.201.183.233,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0991,a0:29:19:b0:25:9d,172.25.207.128,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0992,ac:74:b1:38:91:db,172.25.207.53,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0993,ac:74:b1:40:25:b8,172.25.207.26,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0994,a0:29:19:31:57:51,172.25.207.47,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0995,90:8d:6e:1e:ca:7e,10.201.172.137,,,Alpha.com,global,,,,,,Windows 10 Enterprise
22pc0996,00:05:9a:3c:7a:00,172.25.207.102,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0997,90:8d:6e:1f:07:5f,192.168.0.191,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc0998,90:8d:6e:1e:c2:2c,172.25.207.217,,,Alpha.com,global,,,,,,Windows 10 Enterprise
22pc0999,60:5b:30:0e:3b:a8,10.201.175.61,,,Alpha.com,global,,,,,,Windows 10 Enterprise
22pc1008,,172.25.206.213,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc1009,,172.25.206.214,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc1016,,172.25.206.210,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc1019,,172.25.200.174,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc1027,,172.25.207.239,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc1028,e4:54:e8:55:e4:47,172.25.207.138,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc1029,6c:2b:59:ec:4c:c5,172.25.206.218,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc1030,6c:2b:59:ec:54:7b,172.25.207.82,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc1031,a4:bb:6d:a0:42:95,172.25.207.58,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc1032,74:86:e2:3c:55:c0,172.25.206.209,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc1033,cc:96:e5:3b:53:41,172.25.207.117,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2001,04:bf:1b:25:f5:e5,172.25.207.166,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2002,00:05:9a:3c:7a:00,10.201.160.221,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2003,90:8d:6e:1e:e7:0e,172.25.207.57,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2004,ac:74:b1:3a:16:6e,172.25.207.116,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2005,a8:7e:ea:79:68:d7,10.201.130.207,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2006,00:05:9a:3c:7a:00,10.201.167.136,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2007,00:05:9a:3c:7a:00,172.25.207.99,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2008,04:bf:1b:26:53:e2,172.25.207.73,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2009,cc:96:e5:9a:5a:6e,192.168.1.144,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2010,04:bf:1b:26:1b:4e,172.25.207.144,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2011,90:8d:6e:1f:06:67,192.168.1.36,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2012,04:bf:1b:25:f3:d9,10.201.146.156,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2013,90:8d:6e:1e:aa:16,172.25.207.86,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2014,cc:96:e5:4c:cd:75,172.25.207.15,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2015,cc:96:e5:97:4e:fd,172.25.207.32,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2016,08:92:04:98:15:95,172.25.207.94,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2018,00:05:9a:3c:7a:00,10.201.161.91,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2019,00:05:9a:3c:7a:00,172.25.207.98,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2020,ac:91:a1:d9:1b:35,172.25.207.111,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2021,30:f6:ef:bb:dc:7b,172.25.207.37,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2022,d4:e9:8a:09:74:e1,172.25.207.37,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2023,30:f6:ef:bb:dc:8a,172.25.207.79,,,Alpha.com,global,,,,,,Windows 10 Pro
22pc2024,ac:91:a1:d9:1c:4c,172.25.207.117,,,Alpha.com,global,,,,,,Windows 10 Pro
22PC2025,ac:91:a1:d9:1c:61,172.25.207.170,,,Alpha.com,global,,,,,,Windows 10 Enterprise
22pc2026,00:05:9a:3c:7a:00,10.201.130.252,,,,global,,,,,,Windows 10 Enterprise
22pc2027,ac:91:a1:d9:1c:4d,172.25.207.208,,,,global,,,,,,Windows 10
22RFT12 - OptiPlex 3020,,,,,,global,,,,,,
22RKHR2 - Latitude 5490,,,,,,global,,,,,,
22SHZW2 - Latitude 7390,,,,,,global,,,,,,
22TM542 - Latitude E5440,,,,,,global,,,,,,
22XD3M2 - Latitude 7280,,,,,,global,,,,,,
230y3d3-3545,a4:42:3b:1d:59:e3,172.28.96.165,,,Alpha.com,global,,,,,,Windows 10 Enterprise
231ZS13 - OptiPlex 3070,,,,,,global,,,,,,
232q8d3,38:14:28:0c:32:93,172.24.208.203,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2365QQ2 - Latitude E5480,,,,,,global,,,,,,
237YQN2 - Latitude E5480,,,,,,global,,,,,,
23b4pv2,,192.168.0.114,,,Alpha.com,global,,,,,,Windows 10 Pro
23C01L2 - OptiPlex 3050,,,,,,global,,,,,,
23C8NQ2 - Latitude 5490,,,,,,global,,,,,,
23CK7M3 - Latitude 9420,,10.229.202.160,,,Alpha.com,global,,,,,,Windows 10 Pro
23DCK13 - Latitude 5400,,,,,,global,,,,,,
23dh8d3,f8:5e:a0:ad:57:fa,172.24.210.79,,,Alpha.com,global,,,,,,Windows 10 Enterprise
23J9YD3 - Latitude 9420,,,,,,global,,,,,,
23JM5Y2 - Latitude 5400,,,,,,global,,,,,,
23ln4d3,00:05:9a:3c:7a:00,10.230.121.210,,,Alpha.com,global,,,,,,Windows 10 Enterprise
23MH1N3 - OptiPlex 3080,74:86:e2:10:da:b7,172.25.162.177,,,,global,,,,,,Windows 10
23TRJ72 - Latitude E5450,,,,,,global,,,,,,
23vt7c3,f8:5e:a0:0c:d3:3e,10.200.110.219,,,Alpha.com,global,,,,,,Windows 10 Enterprise
23Y42Z2 - Latitude 5400,,,,,,global,,,,,,
23yd3d3,72:42:48:91:80:47,10.200.34.70,,,Alpha.com,global,,,,,,Windows 10 Enterprise
23ZK924 - Latitude 5440,28:00:af:0a:aa:f5,10.83.223.148,,,,global,,,,,,Windows 10
240L633 - Latitude 5400,,,,,,global,,,,,,
2411GH2 - Latitude E5480,,,,,,global,,,,,,
2432zw2,,172.28.188.38,,,Alpha.com,global,,,,,,Windows 10 Pro
2470BX1 - OptiPlex 7010,,,,,,global,,,,,,
2477QT2 - Latitude 5300 2-in-1,,,,,,global,,,,,,
247L8K3 - OptiPlex 3080,d0:8e:79:12:1a:75,172.25.66.64,,,,global,,,,,,Windows 10
24BM5H2 - Latitude 5480,,,,,,global,,,,,,
24HS9H2 - Latitude E5480,,,,,,global,,,,,,
24khzj3,d0:8e:79:14:e9:42,10.200.34.109,,,Alpha.com,global,,,,,,Windows 10 Enterprise
24MH1N3 - OptiPlex 3080,,,,,,global,,,,,,
24PCBW2 - Optiplex 3060,,,,,,global,,,,,,
24tg2f3,38:14:28:c0:5e:4e,172.28.219.146,,,Alpha.com,global,,,,,,Windows 10 Enterprise
24y33f3,38:14:28:c6:2d:6c,192.168.31.152,,,Alpha.com,global,,,,,,Windows 10 Enterprise
24Z9YD3 - Latitude 9420,,,,,,global,,,,,,
2504YT2 - Latitude 7390 2-in-1,,,,,,global,,,,,,
2509QF2 - Latitude E5470,,,,,,global,,,,,,
250VMH2 - Latitude E5480,,,,,,global,,,,,,
2510T13 - OptiPlex 3070,,,,,,global,,,,,,
251QGH2 - Latitude E5480,,,,,,global,,,,,,
253RGY2 - OptiPlex 7060,,,,,,global,,,,,,
256d3d3,38:14:28:11:e2:0d,172.24.202.116,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2590BB2 - OptiPlex 3020,,,,,,global,,,,,,
2595RV2 - Latitude 5490,,,,,,global,,,,,,
25DQLX2 - Precision 7820 Tower,,,,,,global,,,,,,
25JDYY2 - Latitude 5400,,,,,,global,,,,,,
25khzj3,d0:8e:79:14:e9:24,10.69.40.11,,,Alpha.com,global,,,,,,Windows 10 Enterprise
25m7r73,74:78:27:ef:cd:3e,192.168.0.44,,,Alpha.com,global,,,,,,Windows 10 Pro
25rhzj3,d0:8e:79:15:11:34,172.24.198.119,,,Alpha.com,global,,,,,,Windows 10 Enterprise
25RW9B2 - OptiPlex 3020,,,,,,global,,,,,,
25S3453 - Precision 7540,8c:c6:81:44:4b:48,192.168.192.7,,,,global,,,,,,Windows 10
25VBBB2 - OptiPlex 3020,,,,,,global,,,,,,
25WNHM2 - Latitude E5480,,,,,,global,,,,,,
25X18H2 - Latitude E5480,,,,,,global,,,,,,
25ym7g3,38:14:28:ed:18:1d,10.68.53.90,,,Alpha.com,global,,,,,,Windows 10 Enterprise
25YNW33 - Latitude 5400,,,,,,global,,,,,,
25ZBZY2 - Latitude 5400,,,,,,global,,,,,,
25ZLN13 - Latitude 5400,,,,,,global,,,,,,
260x0f3,00:05:9a:3c:7a:00,172.25.144.227,,,Alpha.com,global,,,,,,Windows 10 Enterprise
261ZTN2 - Latitude E5480,,,,,,global,,,,,,
262RYW2 - Latitude 5490,00:05:9a:3c:7a:00,10.201.186.151,,,,global,,,,,,Windows 10
263K0Z2 - Latitude 5400,,,,,,global,,,,,,
266t2f3,2c:8d:b1:d6:54:de,192.168.31.49,,,Alpha.com,global,,,,,,Windows 10 Enterprise
267txd3,38:14:28:4b:9e:c2,10.69.88.23,,,Alpha.com,global,,,,,,Windows 10 Enterprise
268k6j3,a0:29:19:27:c8:e0,172.24.216.14,,,Alpha.com,global,,,,,,Windows 10 Enterprise
269BNQ2 - Latitude 5490,,,,,,global,,,,,,
26BVVL2 - Precision Tower 3620,,,,,,global,,,,,,
26C4033 - OptiPlex 3070,,,,,,global,,,,,,
26CZ9B2 - OptiPlex 3020,,,,,,global,,,,,,
26DRVL2 - Precision Tower 3620,,,,,,global,,,,,,
26DVNN2 - Latitude E5480,,,,,,global,,,,,,
26dx0f3,,10.126.138.131,,,Alpha.com,global,,,,,,Windows 10 Entreprise
26FRM62 - OptiPlex 7020,,,,,,global,,,,,,
26N43D3 - Latitude 5520,,,,,,global,,,,,,
26SCG52 - OptiPlex 3020,,,,,,global,,,,,,
26t62f3,00:05:9a:3c:7a:00,172.25.27.42,,,Alpha.com,global,,,,,,Windows 10 Entreprise
26X4YT2 - Latitude 7390,,,,,,global,,,,,,
26XFHR2 - Latitude 5490,,,,,,global,,,,,,
272Y662 - Latitude E5450,,,,,,global,,,,,,
27GLDN3 - OptiPlex 3080,,,,,,global,,,,,,
27HW3D3 - Latitude 5420,38:14:28:0a:95:2f,172.28.103.5,,,,global,,,,,,Windows 10
27j03d3,38:14:28:8d:06:85,192.168.1.42,,,Alpha.com,global,,,,,,Windows 10 Entreprise
27J6N13 - Latitude 5400,,,,,,global,,,,,,
27KF3Z2 - Latitude 5400,,,,,,global,,,,,,
27L00G2 - Latitude E5470,,,,,,global,,,,,,
27L7XF2 - Latitude E5470,,,,,,global,,,,,,
27MXHM2 - Latitude 5480,,,,,,global,,,,,,
27X02G2 - Latitude E5470,,,,,,global,,,,,,
27XHYD3 - Precision 7750,,,,,,global,,,,,,
282J143 - Latitude E5480,,,,,,global,,,,,,
282QZY2 - Latitude E5400,,,,,,global,,,,,,
282ZS02 - Latitude E5440,,,,,,global,,,,,,
28331f3,f4:4e:e3:44:77:58,10.184.255.159,,,Alpha.com,global,,,,,,Windows 10 Enterprise
28793F3 - Latitude 5420,f4:4e:e3:47:ca:b1,172.23.145.170,,,,global,,,,,,Windows 10
28B69H2 - Latitude 5480,,,,,,global,,,,,,
28BL6W1 - OptiPlex 7010,,,,,,global,,,,,,
28CR542 - Latitude E5440,,,,,,global,,,,,,
28D53F3 - Precision 5550,,,,,,global,,,,,,
28dmzd3,,172.24.158.253,,,Alpha.com,global,,,,,,Windows 10 Enterprise
28FHL13 - Latitude 5400,,,,,,global,,,,,,
28L7BG2 - Latitude E5470,,,,,,global,,,,,,
28p54f3,,192.168.0.51,,,Alpha.com,global,,,,,,Windows 10 Enterprise
28PGL13 - Latitude 5400,,,,,,global,,,,,,
28RC5X3 - Precision 5570,,,,,,global,,,,,,
28TFZH3 - Latitude 5420,,,,,,global,,,,,,
28XCYP3 - Latitude 5420,,,,,,global,,,,,,
28XZNQ2 - Latitude E5480,,,,,,global,,,,,,
28yjxd3,00:05:9a:3c:7a:00,10.200.42.53,,,Alpha.com,global,,,,,,Windows 10 Enterprise
29163F3 - Latitude 9420,,,,,,global,,,,,,
2916562 - Latitude E5450,,,,,,global,,,,,,
292s3d3,b0:60:88:47:e4:f6,172.28.216.147,,,Alpha.com,global,,,,,,Windows 10 Enterprise
295WCK3 - Latitude 5420,,,,,,global,,,,,,
2985WT2 - Latitude 5490,,,,,,global,,,,,,
29fh2f3,94:e2:3c:61:2c:1d,10.200.97.144,,,Alpha.com,global,,,,,,Windows 10 Enterprise
29G1WV3 - Latitude 5430,ac:91:a1:13:86:a6,172.24.207.93,,,,global,,,,,,Windows 10
29K2K72 - Latitude E5450,,,,,,global,,,,,,
29L8VT2 - Latitude 5490,,,,,,global,,,,,,
29L9LH2 - Latitude E5480,,,,,,global,,,,,,
29n28c3,,10.69.247.25,,,Alpha.com,global,,,,,,Windows 10 Enterprise
29p54f3,00:05:9a:3c:7a:00,10.229.195.88,,,Alpha.com,global,,,,,,Windows 10 Enterprise
29Q00J3 - Latitude 5420,,,,,,global,,,,,,
29RJ924 - Latitude 5440,,,,,,global,,,,,,
29VQ6H2 - Latitude E5480,,,,,,global,,,,,,
29VT4Q2 - Latitude E5480,,,,,,global,,,,,,
29W07D3 - Precision 5550,,,,,,global,,,,,,
29ws2f3,68:da:73:ae:80:c2,10.69.141.224,,,Alpha.com,global,,,,,,Windows 10 Enterprise
29WZQ33 - OptiPlex 3070,,,,,,global,,,,,,
29XZ3W2 - Optiplex 3060,,,,,,global,,,,,,
2b0d3d3,b0:60:88:28:2a:58,172.24.208.73,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2B1D733 - Latitude 5400,,,,,,global,,,,,,
2b4hr93,,192.168.0.103,,,Alpha.com,global,,,,,,Windows 10 Pro
2b5f3d3,00:05:9a:3c:7a:00,10.201.155.91,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2b5w0j3,28:11:a8:cc:a8:85,10.201.131.188,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2B7SYW2 - Latitude 5490,,,,,,global,,,,,,
2B8BGB3 - Latitude 5420,,,,,,global,,,,,,
2B8L1N2 - Latitude E5480,,,,,,global,,,,,,
2BCM1X2 - OptiPlex 3070,,,,,,global,,,,,,
2BCQX33 - Latitude 5400,,,,,,global,,,,,,
2BG20N2 - Latitude E5480,,,,,,global,,,,,,
2BGLG24 - Latitude 3420,,,,,,global,,,,,,
2BHXPN2 - Latitude 5289,,,,,,global,,,,,,
2BPNJ03 - Latitude 5420,,,,,,global,,,,,,
2BQZLQ2 - Latitude 7390,,,,,,global,,,,,,
2BSMFB3 - Latitude 5410,,,,,,global,,,,,,
2BWC3M3 - Latitude 5420,,,,,,global,,,,,,
2C532G2 - Latitude E5470,,,,,,global,,,,,,
2C6HGB3 - Latitude 5420,,,,,,global,,,,,,
2CFWD63 - Latitude 5320,,,,,,global,,,,,,
2CGLG24 - Latitude 3420,10:98:19:00:c6:86,172.28.162.88,,,,global,,,,,,Windows 11
2CJBD33 - Latitude E5480,,,,,,global,,,,,,
2CK71300YL - ,,,,,,global,,,,,,
2cm7r73,,172.28.217.196,,,Alpha.com,global,,,,,,Windows 10 Pro
2cp54f3,70:cf:49:e6:88:8b,172.29.132.63,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2CR0VV3 - Latitude 9430,,,,,,global,,,,,,
2CW5FG3 - Latitude 3420,,,,,,global,,,,,,
2cwg8c3,84:5c:f3:c8:6e:2d,10.68.39.224,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2cwq493,00:05:9a:3c:7a:00,10.230.110.134,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2CWSTN3 - OptiPlex 3080,,,,,,global,,,,,,
2CX29Y2 - Latitude 5400,,,,,,global,,,,,,
2CYB2H2 - Latitude E5470,,,,,,global,,,,,,
2D0R542 - Latitude E5450,,,,,,global,,,,,,
2D300J3 - Latitude 5420,,,,,,global,,,,,,
2D3ZWT2 - Latitude 5490,,,,,,global,,,,,,
2D5DVN2 - Latitude E5480,,,,,,global,,,,,,
2D693M3 - Precision 5560,84:14:4d:df:61:be,10.68.38.192,,,,global,,,,,,Windows 10
2d6t4d3,f8:5e:a0:12:4e:d6,10.201.174.107,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2d6x0f3,04:56:e5:66:91:94,172.24.209.64,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2D8ZX52 - Latitude E5450,,,,,,global,,,,,,
2D9N7Z2 - OptiPlex 3060,,,,,,global,,,,,,
2DBLBK3 - Latitude 9420,,,,,,global,,,,,,
2DC39H2 - Latitude E5480,,,,,,global,,,,,,
2DGLG24 - Latitude 3420,,,,,,global,,,,,,
2DJ5533 - Latitude 5400,,,,,,global,,,,,,
2DK0FQ1 - OptiPlex 780,,,,,,global,,,,,,
2DMYYD3 - Precision 5560,,,,,,global,,,,,,
2dqz0f3,38:14:28:3d:a5:d8,172.24.207.115,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2DSS6M3 - Latitude 5420,,,,,,global,,,,,,
2dz9yd3,a0:29:19:bc:52:88,10.69.125.228,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2f713d3,00:05:9a:3c:7a:00,172.25.147.165,,,Alpha.com,global,,,,,,Windows 10 Entreprise
2F96SN2 - Latitude E5480,,,,,,global,,,,,,
2FFZD02 - OptiPlex 3020,,,,,,global,,,,,,
2FGB0X2 - Latitude 5490,,,,,,global,,,,,,
2FJ5ZW2 - Latitude 5490,,,,,,global,,,,,,
2fkt2f3,2c:16:db:a7:21:23,10.69.141.106,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2fl41f3,dc:21:5c:98:19:21,10.69.125.183,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2FLFWF2 - Latitude E5470,,,,,,global,,,,,,
2fm7r73,50:2f:9b:41:9e:ac,10.69.20.243,,,Alpha.com,global,,,,,,Windows 10 Pro
2FMDQK2 - OptiPlex 3050,,,,,,global,,,,,,
2fq73f3,,10.69.173.87,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2FSQ4W2 - Optiplex 3060,,,,,,global,,,,,,
2FTN8D3 - Latitude 9410,,,,,,global,,,,,,
2FV2BH2 - Latitude E5480,,,,,,global,,,,,,
2G08MQ2 - Latitude 5480,,,,,,global,,,,,,
2G3GSQ3 - Latitude 5430,a0:80:69:f7:e8:5b,10.69.24.150,,,,global,,,,,,Windows 10
2G474J3 - Latitude 5420,,,,,,global,,,,,,
2G6Y0N2 - Latitude E5480,,,,,,global,,,,,,
2GC7RV2 - Latitude 5490,,,,,,global,,,,,,
2GC93H2 - Latitude E5480,,,,,,global,,,,,,
2GDJKF2 - OptiPlex 3040,,,,,,global,,,,,,
2GJ6NN2 - Latitude E5480,,,,,,global,,,,,,
2gj73f3,f4:4e:e3:32:df:70,172.28.148.233,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2GL28X2 - Optiplex 3060,,,,,,global,,,,,,
2GLNXT2 - Latitude 5490,,,,,,global,,,,,,
2GSW6H2 - Latitude 5480,,,,,,global,,,,,,
2GWJ924 - Latitude 5440,,,,,,global,,,,,,
2gxr3f3,a8:64:f1:9b:ee:98,10.69.90.253,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2gy53d3,00:05:9a:3c:7a:00,10.201.142.246,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2h1p2f3,94:e2:3c:4c:b8:8c,172.28.91.211,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2H3GNN2 - Latitude E5480,,,,,,global,,,,,,
2H6F9K3 - Latitude 5420,,,,,,global,,,,,,
2h962f3,38:14:28:c6:c7:68,192.168.1.33,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2HB9MC2 - Latitude E5470,,,,,,global,,,,,,
2HDG4M2 - Latitude E5480,,,,,,global,,,,,,
2HJHQQ2 - Latitude E5480,,,,,,global,,,,,,
2HP9MQ2 - Latitude E5480,,,,,,global,,,,,,
2HRX0B3 - Latitude 5320,,,,,,global,,,,,,
2HSH633 - Latitude 5400,,,,,,global,,,,,,
2HVC433 - Latitude 5400,,,,,,global,,,,,,
2HWH424 - Latitude E5440,,,,,,global,,,,,,
2hx9bk3,80:38:fb:f0:a3:0c,10.0.0.232,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2j2m6d3,b0:60:88:2d:9b:f5,172.20.10.2,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2J340N2 - Latitude E5480,,,,,,global,,,,,,
2J3XXT2 - Latitude 7390,,,,,,global,,,,,,
2JBHJ34 - Latitude 5440,58:6d:67:47:08:a1,172.25.201.220,,,,global,,,,,,Windows 10
2JDMBK3 - Latitude 9420,,,,,,global,,,,,,
2JGP3M3 - Latitude 5420,,,,,,global,,,,,,
2JP9W3J - Precision T7400,,,,,,global,,,,,,
2JTD9H2 - Latitude E5480,,,,,,global,,,,,,
2JV2ZW2 - Latitude 5490,,,,,,global,,,,,,
2JYFST3 - Latitude 5430,,172.28.217.206,,,Alpha.com,global,,,,,,Windows 10 專業版
2JZ2Y33 - Latitude 5400,,,,,,global,,,,,,
2jz63f3,f4:4e:e3:44:f7:0f,172.28.219.188,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2JZKKQ2 - OptiPlex 3050,,,,,,global,,,,,,
2JZN8C3 - Latitude 5420,,,,,,global,,,,,,
2K0SD02 - OptiPlex 7010,,,,,,global,,,,,,
2k1p2f3,94:e2:3c:48:ec:5c,192.168.31.119,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2K39ZD3 - Latitude 9420,,,,,,global,,,,,,
2k5r9y2 - Latitude 5400,,,,,,global,,,,,,
2k5x693,,10.69.204.45,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2K7F4BS - Latitude E6400,,,,,,global,,,,,,
2K7PFC2 - Latitude E5470,,,,,,global,,,,,,
2KBWCK3 - Latitude 5420,,,,,,global,,,,,,
2KD0RC2 - Latitude E5470,,,,,,global,,,,,,
2KFGP13 - Precision 7540,,,,,,global,,,,,,
2KFKKQ2 - OptiPlex 3050,,,,,,global,,,,,,
2kl03d3,38:14:28:8a:40:22,10.126.131.226,,,Alpha.com,global,,,,,,Windows 10 Entreprise
2KLHNQ2 - Latitude E5480,,,,,,global,,,,,,
2KNFKQ2 - OptiPlex 3050,,,,,,global,,,,,,
2KPZQV2 - Latitude 5400,,,,,,global,,,,,,
2KQQ713 - OptiPlex 3070,,,,,,global,,,,,,
2KSK9R2 - Precision 7820 Tower,,,,,,global,,,,,,
2KT9HM2 - Latitude 7280,,,,,,global,,,,,,
2KYN7Y2 - Latitude 5490,,,,,,global,,,,,,
2L7QP13 - Latitude 7200 2-in-1,,,,,,global,,,,,,
2L7YRN2 - Latitude 5480,,,,,,global,,,,,,
2L8JJR2 - Latitude 7390,,,,,,global,,,,,,
2LCCKW2 - Latitude 5300 2-in-1,,,,,,global,,,,,,
2lgmxd3,00:05:9a:3c:7a:00,10.229.225.47,,,Alpha.com,global,,,,,,Windows 10 Enterprise
2LLD5Q2 - Latitude E5480,,,,,,global,,,,,,
2lqjz93,e0:2b:e9:35:ee:b8,192.168.10.13,,,Alpha.com,global,,,,,,Windows 10 企业版
2LSZ6H2 - Latitude E5480,,,,,,global,,,,,,
2LW1Y33 - Latitude 5400,,,,,,global,,,,,,
2LXGLH2 - Latitude E5480,,,,,,global,,,,,,
2LXH1F3 - Latitude 9420,,,,,,global,,,,,,
2M1RD02 - OptiPlex 7010,,,,,,global,,,,,,
2M583F3 - Latitude 5420,,,,,,global,,,,,,
2M5BP13 - Latitude 5400,,,,,,global,,,,,,
