Serial number,MAC Address,IP Address,Fully qualified domain name,Name,Chassis type,Product instance identifier,Operational status,Host name,Assigned to,Domain,Object ID,Most recent discovery,IOS version,Operating System,Confidence Score
LENOVOUVYMJK8P,CD:C9:DA:81:7A:A0,10.1.11.77,ws-it262.fabrikam.local,WS-IT262,6.0,1F064BEB-3602-457C-BEAD-2EB846CCCB1A,Operational,ws-it262,CORP\laura.clay,FABRIKAM,16792305.0,11-04-2025 19:34,5.00.9049.1000,Windows Server 2019 Standard,100.0
IRFPJUHUTJ,08:9E:39:37:21:55,10.1.2.29,srv-sql40.fabrikam.local,SRV-SQL40,17.0,,Operational,srv-sql40,SYSTEM,FABRIKAM,16701320.0,16-04-2025 07:05,5.00.9049.1000,Windows Server 2019 Standard,100.0
P8KMNUM,55:00:91:D9:2C:3A,10.1.11.78,ws-it326.corp.local,WS-IT326,4.0,A608DDA7-1264-4862-897E-6E6F8BC1652E,Operational,ws-it326,CORP\brianna.ponce,CORP,16769358.0,14-04-2025 16:33,5.00.9049.1000,Windows Server 2019 Standard,100.0
JE0Q13W,15:01:44:01:1B:CD,10.1.21.102,,LT-IT277,10.0,C1967E12-535A-48E3-8D8C-1CBA7068AB7E,Operational,lt-it277,FABRIKAM\tony.miller,CONTOSO,16712574.0,08-04-2025 17:34,5.00.9049.1000,Windows Server 2022 Standard,95.0
LENOVOWMRQKHJ4,08:09:21:77:89:A0,10.1.21.101,,LT-IT075,9.0,0F884CA5-0B02-4880-9D5F-1D2C821EA31C,Operational,lt-it075,CORP\karen.ward,FABRIKAM,16776769.0,24-03-2025 19:30,5.00.9040.1001,Windows Server 2019 Standard,100.0
Y7RRY4U,00:3B:14:B8:D5:C4,10.1.11.79,ws-it157.fabrikam.local,WS-IT157,5.0,1001CA15-5E52-490C-A1E3-F5992FECDD5C,Operational,ws-it157,CORP\kelly.saunders,FABRIKAM,16717627.0,08-04-2025 18:53,5.00.9049.1000,Windows Server 2022 Standard,95.0
LENOVOOTYVXK04,88:08:A3:45:75:00,10.1.11.76,ws-it160.contoso.local,WS-IT160,6.0,8F04D615-11FE-42F4-AB05-8B1ECE07CA88,Operational,ws-it160,CORP\francisco.novak,CONTOSO,16737113.0,12-04-2025 16:23,5.00.9049.1000,Windows Server 2019 Standard,100.0
2OPFUFO,,10.1.11.75,ws-it264.fabrikam.local,WS-IT264,7.0,53FDDB0F-5AE7-4259-A53D-AC3D0EC59CBA,Operational,ws-it264,CORP\erin.miller,FABRIKAM,16709533.0,,5.00.9049.1000,Windows Server 2022 Standard,90.0
RNU6GYNGZP,69:9B:31:E4:99:AE,10.1.21.100,lt-it144.contoso.local,LT-IT144,,77EB8EFE-60DE-4974-81E2-6661ABB08440,Operational,lt-it144,FABRIKAM\jennifer.clark,CONTOSO,16720590.0,17-04-2025 08:39,5.00.9049.1000,Windows Server 2022 Standard,90.0
S5P1I60,,,ws-it089.contoso.local,,15.0,C190D2CB-F1A4-453B-9F51-08C837E7BD91,Operational,ws-it089,CORP\jordan.reyes,CONTOSO,16767408.0,24-03-2025 12:28,5.00.9040.1001,Windows Server 2022 Standard,90.0
ULJJDV9FCD,D1:6C:56:CC:81:53,10.1.11.73,,WS-IT288,,BCD147A5-7504-4340-B5EE-CCBE04A2C57D,Operational,ws-it288,CORP\christopher.olson,CORP,,06-04-2025 19:14,5.00.9049.1000,Windows Server 2019 Standard,100.0
LENOVOHBW8J6Y9,6D:07:95:DD:D1:11,10.1.11.72,ws-it118.fabrikam.local,WS-IT118,5.0,AEEF1722-B281-474D-8269-0897C9109CFA,Operational,ws-it118,CONTOSO\christopher.ortiz,FABRIKAM,16779512.0,17-04-2025 09:47,5.00.9049.1000,Windows Server 2022 Standard,90.0
9PSKYIE,DD:52:BD:D7:EA:45,10.1.11.71,ws-it208.fabrikam.local,WS-IT208,5.0,66C879B0-CD1E-4FC0-8C60-80FAC885A251,Operational,ws-it208,CONTOSO\leah.mason,FABRIKAM,,05-04-2025 18:29,5.00.9040.1001,Windows Server 2022 Standard,90.0
00QWVAXCCX,C8:81:E8:D8:14:6B,10.1.11.70,ws-it217.fabrikam.local,WS-IT217,3.0,40331619-3787-43B9-B27C-4FDEB15A17B8,Operational,ws-it217,CONTOSO\ashley.ruiz,FABRIKAM,16749060.0,28-03-2025 19:07,5.00.9049.1000,Windows Server 2022 Standard,90.0
LENOVOQ7F1A5G2,C4:0C:99:6D:2F:7A,10.1.21.77,lt-it260.fabrikam.local,LT-IT260,14.0,700215D0-2E55-470C-9ADC-796A4679596F,Operational,lt-it260,,FABRIKAM,16791088.0,20-04-2025 09:32,5.00.9049.1000,Windows Server 2022 Standard,95.0
HYJ2XZDB51,59:F5:37:3A:57:16,10.1.11.87,ws-it485.contoso.local,WS-IT485,7.0,7B0765BB-A0F4-447F-8AF6-CDE483B7ECDE,Operational,ws-it485,CONTOSO\pamela.moore,CONTOSO,16753532.0,19-04-2025 17:49,5.00.9049.1000,Windows Server 2022 Standard,95.0
9MV7L2M,91:FC:1A:9B:3E:29,10.1.11.88,ws-it423.fabrikam.local,WS-IT423,7.0,1626D2A7-7878-45C7-95EB-07777F2C27AB,Operational,ws-it423,CORP\ashley.harris,FABRIKAM,16791015.0,06-04-2025 19:12,5.00.9049.1000,Windows Server 2022 Standard,90.0
LENOVOXG727BVY,45:CC:EA:13:13:66,10.1.21.78,lt-it219.fabrikam.local,LT-IT219,8.0,F53DDA19-DDD2-4957-AAC3-B06D1A918056,Operational,lt-it219,FABRIKAM\pamela.luna,FABRIKAM,16783570.0,29-03-2025 09:40,5.00.9049.1000,Windows Server 2019 Standard,100.0
YX78DC6WW4,,,ws-it638.contoso.local,WS-IT638,3.0,495F27DD-589B-4F7C-85DF-3034218EF013,Operational,ws-it638,CORP\kyle.ibarra,CONTOSO,,12-04-2025 12:02,5.00.9049.1000,Windows Server 2019 Standard,100.0
262I61ON72,DD:60:D0:C1:CB:1D,10.1.21.79,,LT-IT136,10.0,B55B94CF-B585-48E7-9BAE-1E2EF7222BDC,Operational,lt-it136,CORP\katie.terry,CORP,16770933.0,13-04-2025 09:20,5.00.9040.1001,Windows Server 2019 Standard,100.0
2KEEDRT,E0:1B:B7:93:2B:EE,10.1.11.86,ws-it133.fabrikam.local,WS-IT133,5.0,3294422E-0D12-48FC-8BAF-423D299D06B3,Operational,ws-it133,FABRIKAM\ernest.cruz,FABRIKAM,16782960.0,19-04-2025 18:54,5.00.9049.1000,Windows Server 2022 Standard,95.0
7NXR6M2,E8:47:0B:20:F7:D8,10.1.21.76,lt-it013.corp.local,LT-IT013,14.0,DC202E6E-25BD-420C-9526-7000C5B88F50,Operational,lt-it013,CORP\emily.hernandez,CORP,16711468.0,08-04-2025 15:42,5.00.9049.1000,Windows Server 2019 Standard,100.0
91RF3OJ,5C:85:72:C2:4D:0C,10.1.11.85,ws-it686.fabrikam.local,WS-IT686,5.0,1ACB50E5-0B13-474F-9211-6BC5C2283CFE,Operational,ws-it686,CONTOSO\amanda.flores,FABRIKAM,16749215.0,26-03-2025 16:03,5.00.9049.1000,Windows Server 2019 Standard,100.0
LENOVOOTJMYHDW,B8:AB:4A:E8:57:BC,10.1.21.75,lt-it022.contoso.local,LT-IT022,14.0,3F162957-6E27-48F9-A4C4-1857C9601C30,Operational,lt-it022,FABRIKAM\richard.cook,CONTOSO,16790999.0,11-04-2025 09:35,5.00.9049.1000,Windows Server 2022 Standard,95.0
LENOVO2H051Q0Z,54:73:1F:38:76:53,10.1.11.84,ws-it582.corp.local,WS-IT582,4.0,9B0A8298-9498-4195-9790-DDA14DAF7756,Operational,ws-it582,CORP\mitchell.mills,CORP,16791191.0,13-04-2025 07:47,5.00.9049.1000,Windows Server 2019 Standard,100.0
LENOVO7L99I0TC,D4:47:4C:23:88:07,10.1.11.83,ws-it201.contoso.local,WS-IT201,15.0,08EBB92A-0D14-4CF1-B6F2-3834040EDF12,Operational,ws-it201,CORP\glenn.lam,CONTOSO,16747705.0,13-04-2025 13:16,5.00.9049.1000,Windows Server 2022 Standard,95.0
IHAHE5MV7L,79:AE:DC:11:29:61,10.1.21.74,lt-it076.fabrikam.local,LT-IT076,8.0,05D17C26-82D9-4160-AFD5-A70B2F999381,Operational,lt-it076,FABRIKAM\kelly.cunningham,FABRIKAM,16760622.0,16-04-2025 10:10,5.00.9049.1000,Windows Server 2022 Standard,90.0
HFOW3UT,F4:9F:C8:14:41:58,10.1.11.82,ws-it630.contoso.local,WS-IT630,7.0,22819951-4673-4EB1-8963-14FC1310E72B,Operational,ws-it630,CORP\douglas.reese,CONTOSO,16741871.0,01-04-2025 18:01,5.00.9040.1001,Windows Server 2019 Standard,100.0
ENZZ0BTF6M,8C:FD:FB:57:E9:96,10.1.11.81,ws-it426.fabrikam.local,WS-IT426,3.0,F7B6779B-A5BB-408B-B3A8-044287CEB15E,Operational,ws-it426,CONTOSO\samuel.carney,FABRIKAM,16721264.0,09-04-2025 18:49,5.00.9049.1000,Windows Server 2022 Standard,90.0
ZMXMF54QN9,00:56:74:CD:65:43,10.1.21.73,lt-it329.corp.local,LT-IT329,8.0,1BFF1440-0DB2-40AE-A577-C42262410BFF,Operational,lt-it329,CONTOSO\jennifer.brewer,CORP,16711203.0,02-04-2025 17:11,5.00.9049.1000,Windows Server 2022 Standard,90.0
FTIJBDWOAA,19:64:6A:C1:A1:5C,10.1.11.80,ws-it024.fabrikam.local,WS-IT024,15.0,CE2F43D6-4237-4E72-B4D9-3AEB39908D83,Operational,ws-it024,,FABRIKAM,16788515.0,09-04-2025 11:50,5.00.9049.1000,Windows Server 2019 Standard,100.0
LCM977J5UB,E8:10:3E:8A:BD:D9,10.1.11.97,ws-it002.fabrikam.local,,7.0,ED94B7B1-22B2-4707-B4CA-F99DFF264DA3,Operational,ws-it002,CORP\sonia.smith,FABRIKAM,16770470.0,16-04-2025 10:49,5.00.9049.1000,Windows Server 2019 Standard,100.0
IGIVB5M6DY,AC:E3:4B:8E:01:76,10.1.11.98,ws-it678.fabrikam.local,WS-IT678,5.0,42862674-A59F-420C-93BB-455A40BD4D86,Operational,ws-it678,CONTOSO\nicholas.sexton,FABRIKAM,16793110.0,02-04-2025 11:37,5.00.9049.1000,Windows Server 2022 Standard,90.0
LENOVO9SOEICC6,1C:F7:17:5F:DE:F6,10.1.11.99,ws-it642.contoso.local,WS-IT642,15.0,F0FDD8A0-0C11-4185-8844-620B71A5B42E,Operational,ws-it642,CONTOSO\elizabeth.fuller,CONTOSO,16721757.0,10-04-2025 19:28,5.00.9049.1000,Windows Server 2019 Standard,100.0
LENOVOSF26OGEQ,81:FD:76:7B:F9:FF,10.1.21.72,lt-it240.contoso.local,LT-IT240,9.0,9157F9B0-889B-4483-9A4C-4329835571F4,Operational,lt-it240,CORP\sharon.fox,CONTOSO,16765725.0,26-03-2025 17:31,5.00.9049.1000,Windows Server 2022 Standard,90.0
5JY02WQ,A5:CE:ED:E9:71:F5,10.1.11.96,ws-it641.corp.local,WS-IT641,3.0,87C9A19A-D10A-41AE-A35A-B848A7428250,Operational,ws-it641,FABRIKAM\christina.hubbard,CORP,16748927.0,27-03-2025 12:06,5.00.9049.1000,Windows Server 2019 Standard,100.0
2YF6L2U,3D:53:8B:99:6F:0B,10.1.11.95,ws-it055.contoso.local,WS-IT055,5.0,EEBA3FE0-66F6-489D-819E-F686F1D82E93,Operational,ws-it055,CONTOSO\michelle.patel,CONTOSO,16761317.0,01-04-2025 13:59,5.00.9049.1000,Windows Server 2022 Standard,90.0
LENOVO8HXX672N,3D:CE:BD:7D:82:F6,10.1.11.94,ws-it447.contoso.local,WS-IT447,4.0,99819A86-6CF5-4CFD-9265-746FC9EF0379,Operational,ws-it447,CORP\jesse.rose,CONTOSO,16760132.0,15-04-2025 17:12,5.00.9049.1000,Windows Server 2019 Standard,100.0
LENOVO5MMQ84KF,A1:DF:33:19:80:A3,10.1.11.93,ws-it303.corp.local,WS-IT303,,8832FD91-B477-44B9-890E-12D30A07273A,Operational,ws-it303,,CORP,16729490.0,27-03-2025 08:54,5.00.9049.1000,Windows Server 2022 Standard,95.0
LENOVOI7DYB9JL,A9:7A:3B:BF:E6:96,10.1.11.92,ws-it332.contoso.local,WS-IT332,4.0,FAC03C4A-5DFE-44A6-A2E1-13551045277F,Operational,ws-it332,FABRIKAM\david.acosta,CONTOSO,16716208.0,23-03-2025 15:03,5.00.9049.1000,Windows Server 2022 Standard,95.0
LENOVOBNOHCT4H,5C:36:2D:F8:2E:95,10.1.11.91,ws-it194.fabrikam.local,WS-IT194,6.0,1A51E8CE-6E2E-4D0C-A676-AC038CA6B5E1,Operational,ws-it194,CONTOSO\steven.glass,FABRIKAM,16738194.0,25-03-2025 18:00,5.00.9049.1000,Windows Server 2019 Standard,100.0
K16LKQF,68:D2:58:B0:2A:2F,10.1.11.90,ws-it574.corp.local,WS-IT574,5.0,13B3846B-147D-4576-8169-63B9DC956BD0,Operational,ws-it574,CORP\crystal.ruiz,CORP,16780869.0,27-03-2025 13:16,5.00.9040.1001,Windows Server 2022 Standard,90.0
59972870746,9D:26:BE:CC:0C:D7,10.1.31.25,tb-it44.corp.local,TB-IT44,11.0,7534A5C4-F0E8-44C0-9238-65AF00754763,Operational,tb-it44,CORP\jacob.lucas,CORP,16745076.0,,5.00.9040.1001,Windows Server 2022 Standard,90.0
P65HQKVA3C,A9:A3:43:75:9D:B1,10.1.21.71,lt-it317.corp.local,LT-IT317,8.0,FE3620D2-3AB4-4AA4-8262-1892F114351D,Operational,lt-it317,,CORP,16760783.0,09-04-2025 08:50,5.00.9049.1000,Windows Server 2022 Standard,90.0
IZCVSNU,01:AC:93:4C:51:F1,10.1.21.70,lt-it019.contoso.local,LT-IT019,10.0,5F87157C-BAC7-48D2-BD12-D79ADF569F0B,Operational,lt-it019,CORP\melissa.brooks,CONTOSO,16749167.0,26-03-2025 17:24,5.00.9049.1000,Windows Server 2019 Standard,100.0
Z5OBM5RX2V,04:AF:3D:CD:8E:B0,10.1.11.68,ws-it418.corp.local,WS-IT418,4.0,,Operational,ws-it418,CORP\dennis.jones,CORP,16703954.0,20-04-2025 12:04,5.00.9049.1000,Windows Server 2022 Standard,90.0
LENOVOGJYLMSO0,B4:2F:7A:01:C9:8A,10.1.11.69,ws-it196.corp.local,WS-IT196,,E8937F8B-DA08-4811-B315-82F5C34A5379,Operational,ws-it196,CONTOSO\benjamin.hutchinson,CORP,16701075.0,31-03-2025 18:27,,Windows Server 2019 Standard,100.0
LENOVOJKM5UZ8E,F9:6D:5A:4A:4B:26,10.1.11.66,ws-it395.contoso.local,WS-IT395,6.0,9811CF33-1A5E-44FE-8865-18C6ACCFF53F,Operational,ws-it395,CORP\mark.evans,CONTOSO,16753168.0,07-04-2025 15:46,5.00.9049.1000,Windows Server 2022 Standard,90.0
QHO2FR0,8C:95:B1:93:F8:D0,10.1.2.26,srv-sql35.corp.local,SRV-SQL35,17.0,4816516A-9A54-413E-8DE4-4C3F98882BC1,Operational,srv-sql35,SYSTEM,CORP,16705282.0,04-04-2025 14:23,5.00.9049.1000,Windows Server 2019 Standard,100.0
LENOVO0U86D5AJ,35:3A:C0:54:7F:2C,10.1.11.65,ws-it162.fabrikam.local,WS-IT162,17.0,4FA0B27E-9C3E-469A-BB39-3B125F610578,Operational,ws-it162,CONTOSO\joshua.smith,FABRIKAM,16773986.0,03-04-2025 13:19,5.00.9040.1001,Windows Server 2022 Standard,95.0
R7MRLGBNOG,65:70:A2:67:E3:CB,10.1.21.88,lt-it074.contoso.local,LT-IT074,14.0,8A09E62D-1E6A-4219-9DC4-3105A97D964E,Operational,lt-it074,CONTOSO\sandra.nash,CONTOSO,16700625.0,,5.00.9040.1001,Windows Server 2019 Standard,100.0
GIW4E2XQXT,94:F9:59:2F:04:80,10.1.11.64,ws-it248.corp.local,WS-IT248,6.0,BB621902-A63A-4CEF-913F-49915529BC04,Operational,ws-it248,CORP\benjamin.williams,CORP,16794762.0,06-04-2025 16:44,5.00.9049.1000,Windows Server 2022 Standard,95.0
LENOVOGKO7816G,81:88:BD:BC:DB:E0,10.1.31.24,tb-it43.corp.local,TB-IT43,11.0,F17D6906-AAEC-4825-A536-6EF94D283DD1,Operational,tb-it43,CONTOSO\russell.griffin,CORP,16746258.0,02-04-2025 07:45,5.00.9049.1000,Windows Server 2019 Standard,100.0
5CKFCRR,09:31:7D:DA:A8:3E,10.1.2.25,srv-sql27.contoso.local,SRV-SQL27,20.0,A686E46E-C2F8-4090-8A06-DF1BE03101C2,Operational,srv-sql27,SYSTEM,CONTOSO,,11-04-2025 16:06,5.00.9049.1000,Windows Server 2022 Standard,100.0
4744USETGM,24:7C:D5:76:D3:98,10.1.11.63,ws-it034.contoso.local,WS-IT034,7.0,4C56AEF7-7276-45ED-BC65-923F18B54032,Operational,ws-it034,FABRIKAM\jesus.willis,CONTOSO,16766396.0,19-04-2025 09:34,5.00.9049.1000,Windows Server 2019 Standard,100.0
LENOVOD8D7EHVD,D5:89:C4:E8:76:76,10.1.11.62,ws-it604.corp.local,WS-IT604,6.0,,Operational,ws-it604,CORP\vincent.alexander,CORP,16762507.0,09-04-2025 07:43,5.00.9049.1000,Windows Server 2019 Standard,100.0
6M8FJGS,A0:17:23:20:DC:3A,10.1.21.89,lt-it010.corp.local,LT-IT010,14.0,52A6AD18-5EE1-4350-9A09-871D43EBD3D8,Operational,lt-it010,CORP\kara.thomas,CORP,16709186.0,08-04-2025 13:49,5.00.9049.1000,Windows Server 2022 Standard,95.0
LENOVOZWAP22VW,29:8D:01:CF:5D:A7,10.1.11.61,ws-it409.corp.local,WS-IT409,5.0,9AD66371-103B-482D-A738-D08C423D261E,Operational,ws-it409,CORP\jessica.adams,CORP,,20-04-2025 09:02,5.00.9049.1000,Windows Server 2022 Standard,95.0
G56H0KWNE8,65:96:51:D2:FE:AF,10.1.11.60,ws-it330.fabrikam.local,WS-IT330,7.0,55592BE2-5D3D-4242-8D19-02FA215D3F14,Operational,,FABRIKAM\mary.griffith,FABRIKAM,16720752.0,03-04-2025 14:19,5.00.9049.1000,Windows Server 2022 Standard,95.0
2FGETCB,3D:4B:F6:D0:FD:88,10.1.2.24,srv-sql49.fabrikam.local,SRV-SQL49,20.0,FC7194C3-9D9B-4E3A-A549-629F08D0D92D,Operational,srv-sql49,SYSTEM,FABRIKAM,16759464.0,31-03-2025 07:04,,Windows Server 2022 Standard,100.0
CYC3BDX,DD:FE:D6:53:67:FD,10.1.21.86,lt-it063.corp.local,LT-IT063,8.0,08709EDE-4904-45B7-AA28-E873CC6F86E4,Operational,lt-it063,FABRIKAM\julia.haney,CORP,16738691.0,11-04-2025 08:24,5.00.9049.1000,Windows Server 2019 Standard,100.0
LENOVOOBVVNWIO,31:C3:81:11:38:C0,10.1.21.85,lt-it256.contoso.local,LT-IT256,9.0,D54E00EF-103A-41CA-9897-9096FA2D576D,Operational,,CORP\elizabeth.harper,CONTOSO,16719399.0,04-04-2025 07:01,5.00.9049.1000,Windows Server 2022 Standard,95.0
XVO080EOEO,8C:BC:07:55:44:AD,10.1.11.57,ws-it575.fabrikam.local,WS-IT575,7.0,73358083-7716-4F58-8145-0E36B1D5AE23,Operational,,CORP\tiffany.giles,FABRIKAM,16748919.0,29-03-2025 18:33,5.00.9040.1001,Windows Server 2019 Standard,100.0
KSQVOX1,15:D7:37:07:85:A9,10.1.11.58,ws-it531.contoso.local,WS-IT531,5.0,72A24449-17FB-436A-9091-98343FF59D4E,Operational,ws-it531,CONTOSO\louis.lawson,CONTOSO,16744740.0,03-04-2025 16:24,5.00.9040.1001,Windows Server 2022 Standard,90.0
Q5AFAHRCO6,54:5A:7D:2B:61:7F,10.1.21.84,lt-it342.corp.local,LT-IT342,10.0,,Operational,lt-it342,FABRIKAM\michael.mcpherson,CORP,16721090.0,23-03-2025 08:44,5.00.9040.1001,Windows Server 2019 Standard,100.0
HC8SI8X,54:9B:C4:B7:E4:3C,10.1.11.59,ws-it439.contoso.local,WS-IT439,7.0,321FD8D0-2447-4E95-AE04-17995D60FB45,Operational,,CONTOSO\madeline.park,CONTOSO,16727339.0,24-03-2025 16:41,5.00.9049.1000,Windows Server 2019 Standard,100.0
LENOVOICOBRUDW,1C:7B:16:04:EA:EE,10.1.11.56,ws-it178.fabrikam.local,WS-IT178,5.0,D5A6A483-4D3B-4104-8EEA-86322EC73F66,Operational,ws-it178,CORP\christian.dougherty,FABRIKAM,16754943.0,14-04-2025 08:51,5.00.9040.1001,Windows Server 2019 Standard,100.0
RD1MLZ2,CC:26:76:44:A3:9F,10.1.11.55,ws-it286.fabrikam.local,WS-IT286,4.0,,Operational,ws-it286,CONTOSO\david.wright,FABRIKAM,16738464.0,21-04-2025 19:05,5.00.9040.1001,Windows Server 2022 Standard,95.0
AMY9T31,B0:FE:C9:E6:05:2B,10.1.11.53,ws-it651.contoso.local,WS-IT651,4.0,6A8A45CB-EFFF-45DC-A02F-C783A1EDA8C9,Operational,ws-it651,CONTOSO\monica.carter,CONTOSO,16760970.0,24-03-2025 07:00,5.00.9049.1000,Windows Server 2022 Standard,90.0
GNFT40H,01:24:F7:9B:7C:05,10.1.21.83,lt-it117.contoso.local,LT-IT117,9.0,C4B83DAA-E6BA-4C31-9711-2B5737F846A0,Operational,lt-it117,CORP\christina.kirk,CONTOSO,16736268.0,12-04-2025 13:40,5.00.9040.1001,Windows Server 2022 Standard,95.0
JPUWTO6,29:36:88:7D:A6:E5,10.1.11.51,ws-it215.fabrikam.local,WS-IT215,17.0,487AAC24-A274-4F10-B685-D22958EACE4B,Operational,ws-it215,FABRIKAM\robert.reyes,FABRIKAM,16777068.0,19-04-2025 18:00,5.00.9049.1000,Windows Server 2022 Standard,95.0
C61CK8J402,C9:6C:6D:0E:3D:D3,10.1.11.50,ws-it087.corp.local,WS-IT087,15.0,00AF9BE5-8716-4EC9-BD1E-DEA373E361C3,Operational,ws-it087,FABRIKAM\samuel.hayden,CORP,,01-04-2025 13:57,5.00.9049.1000,Windows Server 2022 Standard,95.0
DDQSOEX56R,3D:16:01:52:90:49,10.1.11.48,ws-it115.fabrikam.local,WS-IT115,6.0,032968BF-4F94-4585-A2AA-D17BAA1F138E,Operational,ws-it115,FABRIKAM\sean.gonzalez,,16763687.0,17-04-2025 11:35,5.00.9049.1000,Windows Server 2022 Standard,95.0
QWKJGVG,09:CC:3F:02:2B:60,10.1.21.82,lt-it045.contoso.local,LT-IT045,14.0,F009F091-8AE6-406F-9C82-770C261DA6FB,Operational,lt-it045,CONTOSO\kimberly.fernandez,CONTOSO,16778110.0,08-04-2025 19:17,5.00.9049.1000,Windows Server 2022 Standard,90.0
L0JMPSYECP,39:B1:74:3C:6D:4B,10.1.21.81,LT-IT293,,8.0,35CD75FD-FFB1-4D04-9721-A196CB4CFDFD,Operational,lt-it293,CONTOSO\james.austin,WORKGROUP,16765387.0,26-03-2025 17:32,5.00.9049.1000,Windows Server 2022 Standard,90.0
LENOVOB4SGASWZ,80:B2:29:94:85:EB,10.1.21.80,lt-it200.fabrikam.local,LT-IT200,8.0,251C423A-6962-433F-8612-93B0F02F9584,Operational,lt-it200,FABRIKAM\tamara.carr,FABRIKAM,16771319.0,13-04-2025 13:34,5.00.9040.1001,Windows Server 2019 Standard,100.0
OUS7G24WTC,44:42:17:8B:14:4A,10.1.21.97,lt-it334.corp.local,,8.0,97C3F3C4-1221-4251-9494-7A546FE2871D,Operational,lt-it334,CORP\victoria.myers,CORP,,01-04-2025 13:00,5.00.9049.1000,Windows Server 2022 Standard,90.0
GWQUIQSV1W,24:F6:F8:70:06:67,10.1.21.98,lt-it203.fabrikam.local,LT-IT203,8.0,B097DE74-4A46-45A8-8B59-8423650E95E1,Operational,lt-it203,FABRIKAM\joseph.campbell,FABRIKAM,16762656.0,24-03-2025 16:29,5.00.9040.1001,Windows Server 2022 Standard,90.0
LENOVO3T179W7H,F9:2C:8C:FC:67:77,10.1.11.49,ws-it540.corp.local,WS-IT540,5.0,D895CF1D-06C2-49CE-B4DD-3EBA5CDA2331,Operational,ws-it540,CONTOSO\hunter.davis,CORP,16769487.0,30-03-2025 10:05,5.00.9049.1000,Windows Server 2022 Standard,90.0
LENOVOGH139OU0,EC:18:F3:A1:4D:6D,10.1.21.99,lt-it297.fabrikam.local,LT-IT297,14.0,BF5ACBAF-A696-4EBF-A255-5AF2702BC64C,Operational,lt-it297,CONTOSO\anne.carlson,FABRIKAM,,25-03-2025 17:40,5.00.9049.1000,Windows Server 2019 Standard,100.0
LENOVOROVD0PKN,89:F6:26:16:FE:5A,10.1.11.46,ws-it597.contoso.local,WS-IT597,4.0,D0E64321-5020-4913-B130-3BDE9F689FAA,Operational,ws-it597,CONTOSO\aaron.sanchez,CONTOSO,16761688.0,19-04-2025 11:34,5.00.9049.1000,Windows Server 2022 Standard,95.0
AR3XNRXBX7,71:72:CF:E0:ED:D0,10.1.2.23,srv-sql32.fabrikam.local,SRV-SQL32,18.0,BCDC78B6-65D6-4138-89B1-A32EAFF44CC9,Operational,srv-sql32,,FABRIKAM,16707988.0,04-04-2025 07:51,5.00.9049.1000,Windows Server 2019 Standard,100.0
0BUD3A3,,10.1.21.96,lt-it270.contoso.local,LT-IT270,8.0,5D28188A-47A7-4E66-B673-DCF15DC704C9,Operational,lt-it270,CONTOSO\gregory.erickson,CONTOSO,16799604.0,31-03-2025 08:28,5.00.9040.1001,Windows Server 2019 Standard,100.0
1OHL5K2ZFU,2D:16:F7:93:8A:74,10.1.11.45,ws-it553.fabrikam.local,WS-IT553,7.0,599B0E53-2CAB-40C9-9117-FEE8EFA06DC4,Operational,ws-it553,FABRIKAM\megan.west,FABRIKAM,16727003.0,16-04-2025 18:30,5.00.9049.1000,Windows Server 2022 Standard,95.0
LENOVORX6O9LIC,90:F3:23:24:3C:92,10.1.21.94,lt-it280.fabrikam.local,LT-IT280,8.0,4C9C74E2-A6A1-4666-948A-5C5494254694,Operational,lt-it280,CONTOSO\cindy.cowan,FABRIKAM,16791192.0,10-04-2025 13:40,,Windows Server 2019 Standard,100.0
QL39HZ8W,4D:79:77:19:68:71,10.1.31.23,tb-it35.contoso.local,TB-IT35,14.0,352574DA-90C4-4D63-AFA0-47B017749452,Operational,tb-it35,CORP\george.james,CONTOSO,16702676.0,,5.00.9049.1000,Windows Server 2019 Standard,100.0
LENOVOPN0PSBEG,91:E5:9D:DB:39:A5,10.1.21.93,lt-it129.corp.local,LT-IT129,8.0,,Operational,lt-it129,CONTOSO\sarah.reid,CORP,,13-04-2025 15:38,5.00.9040.1001,Windows Server 2019 Standard,100.0
LENOVOVIQTLIKH,09:7A:5A:57:F3:6B,10.1.11.44,ws-it588.contoso.local,WS-IT588,3.0,61843EA4-EF17-4707-B094-53731DB4F9AB,Operational,ws-it588,CONTOSO\mary.hanson,CONTOSO,16767301.0,02-04-2025 14:12,5.00.9040.1001,Windows Server 2022 Standard,90.0
Z2NWD1V5AF,,10.1.11.43,ws-it669.contoso.local,,7.0,7C9C3E00-221D-4F26-8619-9637272786AF,Operational,ws-it669,FABRIKAM\alex.jones,CONTOSO,16766203.0,,5.00.9049.1000,Windows Server 2022 Standard,95.0
V6MQ0Q9,B9:46:E4:DB:0D:26,10.1.11.42,ws-it132.contoso.local,WS-IT132,3.0,5608CB7C-E203-4C7F-9EC9-62B2AD6854BF,Operational,ws-it132,,CONTOSO,16780632.0,23-03-2025 18:27,5.00.9040.1001,Windows Server 2022 Standard,95.0
28CC6OA,68:61:50:96:49:6D,,lt-it131.fabrikam.local,LT-IT131,8.0,6D5D0026-859F-4514-A32D-7E1053A18327,Operational,lt-it131,FABRIKAM\jennifer.smith,FABRIKAM,16734658.0,17-04-2025 07:31,5.00.9049.1000,Windows Server 2019 Standard,100.0
